Title: Medicaid Spending per Enrollee (Full or Partial Benefit) | KFF,,,,,,,,,
Timeframe: 2019,,,,,,,Monthly,Monthly,Monthly
Location,All Full or Partial Benefit Enrollees,Seniors,Individuals with Disabilities,Adults,Children,Newly Eligible Adult,Disabled,Adults,Children
Tennessee,"$6,157 ","$10,754 ","$13,217 ","$5,370 ","$3,497 ",N/A,"$1,101.42 ",$447.50 ,$291.42 
Texas,"$7,101 ","$13,596 ","$22,614 ","$4,914 ","$3,236 ",NSD,"$1,884.50 ",$409.50 ,$269.67 
Utah,"$6,835 ","$14,159 ","$24,728 ","$5,794 ","$2,856 ","$4,700 ","$2,060.67 ",$482.83 ,$238.00 
Vermont,"$9,125 ","$15,076 ","$12,107 ","$5,465 ","$6,079 ",N/A,"$1,008.92 ",$455.42 ,$506.58 
Virginia,"$6,659 ","$17,967 ","$25,676 ","$2,035 ","$3,310 ",N/A,"$2,139.67 ",$169.58 ,$275.83 
Washington,"$6,917 ","$16,485 ","$22,417 ","$6,162 ","$2,813 ","$6,035 ","$1,868.08 ",$513.50 ,$234.42 
West Virginia,"$6,703 ","$18,905 ","$14,047 ","$4,613 ","$2,922 ","$4,697 ","$1,170.58 ",$384.42 ,$243.50 
Wisconsin,"$7,362 ","$9,538 ","$21,256 ","$5,641 ","$3,201 ",N/A,"$1,771.33 ",$470.08 ,$266.75 
Wyoming,"$7,463 ","$13,805 ","$21,984 ","$4,927 ","$3,149 ",N/A,"$1,832.00 ",$410.58 ,$262.42 
,,,,,,,,,
Notes,,,,,,,,,
"Due to data security measures, the values of cells reflecting spending for fewer than 50 enrollees are not reported nor included in the final totals (reported as NSD, or Not Significant Data). Estimates here may not match other sources due to enrollment categorization differences.",,,,,,,,,
,,,,,,,,,
Florida and Texas report enrollment in Newly Eligible Adult group even though they had not expanded Medicaid coverage in CY 2019.,,,,,,,,,
,,,,,,,,,
Sources,,,,,,,,,
KFF estimates based on analysis of data from the Preliminary CY 2019 Transformed Medicaid Statistical Information System (T-MSIS).,,,,,,,,,
,,,,,,,,,
Definitions,,,,,,,,,
*Enrollees*: Individuals who are enrolled in Medicaid at any time during the calendar year.,,,,,,,,,
,,,,,,,,,
*Seniors*: Includes all people age 65 and older.,,,,,,,,,
,,,,,,,,,
*Individuals with Disabilities*: Includes people under age 65 who are reported as eligible due to a disability.,,,,,,,,,
,,,,,,,,,
*Adults*: Generally people age 19 to 64. Adults includes a small number of people who are eligible through the Breast and Cervical Cancer Prevention and Treatment Act of 2000.,,,,,,,,,
,,,,,,,,,
"*Children*: Generally people age 18 and younger. However, some people age 19 and older may be classified as ""children"" depending on why they qualify for the program and each state's practices.",,,,,,,,,
,,,,,,,,,
*Newly Eligible Adult*: Adults in the expansion group who were made newly eligible for Medicaid by the ACA Medicaid expansion.,,,,,,,,,
,,,,,,,,,
*N/A*: Data not available.,,,,,,,,,
