"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All states (including the District of Columbia) are required to provide data to The Centers for Medicare & Medicaid Services (CMS) on a range of indicators related to key application, eligibility, and enrollment processes within the state Medicaid and Children’s Health Insurance Programs (CHIP). These data reflect enrollment activity for all populations receiving comprehensive Medicaid and CHIP benefits in all states, as well as state program performance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://data.medicaid.gov/Enrollment/State-Medicaid-and-CHIP-Applications-Eligibility-D/n5ce-jxme/data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total New Determinations,Total New Determinations - footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
SD,South Dakota,9/1/2018,N,U,Y,"2,369",Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Does Not Include All CHIP Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,"2,369",Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,"1,460","Includes CHIP; Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations","1,460","Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",79211,,"116,882",,18.2766,-66.335,"(18.2766, -66.335)",101084,,15798,
TN,Tennessee,9/1/2018,N,P,N,514,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,N/A,,514,Does Not Include All Medicaid Applications,,Does Not Include All Medicaid Determinations Made At Application,403,,403,Does Not Include All Medicaid Determinations Made At Application,,,"1,377,849",,41.6772,-71.5101,"(41.6772, -71.5101)",1328172,,49677,
TN,Tennessee,9/1/2018,N,U,Y,514,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,N/A,,514,Does Not Include All Medicaid Applications,,Does Not Include All Medicaid Determinations Made At Application,403,,403,Does Not Include All Medicaid Determinations Made At Application,,,"1,388,863",,41.6772,-71.5101,"(41.6772, -71.5101)",1336779,,52084,
TX,Texas,9/1/2018,N,P,N,"102,746",,N/A,,"102,746",,"88,981",,"14,127",,"103,108",,3420017,,"4,329,625",,33.8191,-80.9066,"(33.8191, -80.9066)",3682351,,647274,
TX,Texas,9/1/2018,N,U,Y,"119,714",,N/A,,"119,714",,"88,991",,"14,127",,"103,118",,3439217,,"4,354,009",,33.8191,-80.9066,"(33.8191, -80.9066)",3745746,,608263,
UT,Utah,9/1/2018,N,P,N,"18,445","Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,"18,445","Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM","50,040",Includes CHIP,,,"50,040",,199291,,"292,426",Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",248036,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44390,
UT,Utah,9/1/2018,N,U,Y,"18,873","Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,"18,873","Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM","50,040",Includes CHIP,,,"50,040",,200757,,"294,766",Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",250116,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44650,
VT,Vermont,9/1/2018,Y,P,N,"2,949",,1177,,"4,126",Includes Renewals and/or Redeterminations,"3,975",Includes Renewals and/or Redeterminations,94,,"4,069",,62931,,"160,294",,31.106,-97.6475,"(31.106, -97.6475)",155935,,4359,
VT,Vermont,9/1/2018,Y,U,Y,"2,949",,1184,,"4,133",Includes Renewals and/or Redeterminations,"5,680",Includes Renewals and/or Redeterminations,156,,"5,836",,63306,,"161,260",,31.106,-97.6475,"(31.106, -97.6475)",156865,,4395,
VA,Virginia,9/1/2018,N,P,N,"18,441",Includes Renewals and/or Redeterminations,N/A,,"18,441",Includes Renewals and/or Redeterminations,"15,953",Includes Renewals and/or Redeterminations,735,Includes Renewals and/or Redeterminations,"16,688",Includes Renewals and/or Redeterminations,687081,,"1,031,756",,35.7449,-86.7489,"(35.7449, -86.7489)",895232,,136524,
VA,Virginia,9/1/2018,N,U,Y,"19,167",Includes Renewals and/or Redeterminations,N/A,,"19,167",Includes Renewals and/or Redeterminations,"15,942",Includes Renewals and/or Redeterminations,735,Includes Renewals and/or Redeterminations,"16,677",Includes Renewals and/or Redeterminations,696350,,"1,046,208",,35.7449,-86.7489,"(35.7449, -86.7489)",907030,,139178,
WA,Washington,9/1/2018,Y,P,N,"64,642",,66017,,"130,659",,"95,467",,"1,739",,"97,206",,830837,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),"1,734,000",Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1668078,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),65922,
WA,Washington,9/1/2018,Y,U,Y,"66,066",,66750,,"132,816",,"95,446",,"1,736",,"97,182",,830837,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),"1,734,000",Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1668078,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),65922,
WV,West Virginia,9/1/2018,Y,U,Y,"20,319",,N/A,,"20,319",,"11,109",,644,,"11,753",,217686,,"540,941",,18.0001,-64.8199,"(18.0001, -64.8199)",507509,,33432,
WV,West Virginia,9/1/2018,Y,P,N,"20,319",,N/A,,"20,319",,"11,109",,644,,"11,753",,217686,,"540,941",,18.0001,-64.8199,"(18.0001, -64.8199)",507509,,33432,
WI,Wisconsin,9/1/2018,N,P,N,"22,222",Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,"22,222",Does Not Include All Applications for Limited-Benefit Programs,"17,018","Count is of Households, Not Individuals",990,,"18,008",,484751,,"1,029,055",,37.768,-78.2057,"(37.768, -78.2057)",959550,,69505,
WI,Wisconsin,9/1/2018,N,U,Y,"22,712",Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,"22,712",Does Not Include All Applications for Limited-Benefit Programs,"17,018","Count is of Households, Not Individuals",990,,"18,008",,484751,,"1,029,055",,37.768,-78.2057,"(37.768, -78.2057)",959550,,69505,
WY,Wyoming,9/1/2018,N,P,N,"1,285",Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,"1,285",Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,708,,33,,741,,38405,,"57,554",,44.0407,-72.7093,"(44.0407, -72.7093)",53099,,4455,
WY,Wyoming,9/1/2018,N,U,Y,"1,438",Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,"1,438",Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,708,,33,,741,,39767,,"59,452",,44.0407,-72.7093,"(44.0407, -72.7093)",54838,,4614,
AL,Alabama,8/1/2018,N,P,N,"22,186",,N/A,,"22,186",,"31,296",,"3,289",,"34,585",,645122,,"906,985",,32.799,-86.8073,"(32.799, -86.8073)",735972,,171013,
AL,Alabama,8/1/2018,N,U,Y,"22,186",,N/A,,"22,186",,"31,296",,"3,289",,"34,585",,645122,,"906,985",,32.799,-86.8073,"(32.799, -86.8073)",735972,,171013,
AK,Alaska,8/1/2018,Y,P,N,"3,216",Includes Renewals and/or Redeterminations,N/A,,"3,216",Includes Renewals and/or Redeterminations,"2,409",Includes Renewals and/or Redeterminations; Includes CHIP,,,"2,409",Includes Renewals and/or Redeterminations,94422,,"210,217",,61.385,-152.2683,"(61.385, -152.2683)",196460,,13757,
AK,Alaska,8/1/2018,Y,U,Y,"3,216",Includes Renewals and/or Redeterminations,N/A,,"3,216",Includes Renewals and/or Redeterminations,"2,409",Includes Renewals and/or Redeterminations; Includes CHIP,,,"2,409",Includes Renewals and/or Redeterminations,95080,,"211,945",,61.385,-152.2683,"(61.385, -152.2683)",197981,,13964,
AZ,Arizona,8/1/2018,Y,P,N,"119,772",,N/A,,"119,772",,,,,,,,,,"1,691,877",,14.2417,-170.7197,"(14.2417, -170.7197)",1591718,,100159,
AZ,Arizona,8/1/2018,Y,U,Y,"119,772",,N/A,,"119,772",,,,,,,,,,"1,691,877",,14.2417,-170.7197,"(14.2417, -170.7197)",1591718,,100159,
AR,Arkansas,8/1/2018,Y,P,N,"21,955",,N/A,,"21,955",,"11,615",,392,,"12,007",,436643,,"892,517",Includes Private Option Enrollees,34.9513,-92.3809,"(34.9513, -92.3809)",808583,Includes Private Option Enrollees,83934,
AR,Arkansas,8/1/2018,Y,U,Y,"21,955",,N/A,,"21,955",,"11,615",,392,,"12,007",,436643,,"892,517",Includes Private Option Enrollees,34.9513,-92.3809,"(34.9513, -92.3809)",808583,Includes Private Option Enrollees,83934,
CA,California,8/1/2018,Y,P,N,"181,504",Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,"181,504",,"166,695",Does Not Include All Medicaid Determinations Made At Application,"13,411",Does Not Include All CHIP Determinations Made At Application,"180,106",Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,5027520,,"11,973,907",,33.7712,-111.3877,"(33.7712, -111.3877)",10674891,,1299016,
CA,California,8/1/2018,Y,U,Y,"181,504",Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,"181,504",,"166,696",Does Not Include All Medicaid Determinations Made At Application,"13,411",Does Not Include All CHIP Determinations Made At Application,"180,107",Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,5063155,,"12,055,099",,33.7712,-111.3877,"(33.7712, -111.3877)",10746671,,1308428,
CO,Colorado,8/1/2018,Y,P,N,"25,349",,1588,,"26,937",,"21,745",,423,,"22,168",,601286,,"1,339,904",,36.17,-119.7462,"(36.17, -119.7462)",1257949,,81955,
CO,Colorado,8/1/2018,Y,U,Y,"25,349",,1588,,"26,937",,"21,745",,423,,"22,168",,601286,,"1,339,904",,36.17,-119.7462,"(36.17, -119.7462)",1257949,,81955,
CT,Connecticut,8/1/2018,Y,P,N,"5,097",Includes Duplicates,12337,Includes Duplicates; Includes Renewals and/or Redeterminations,"17,434",Includes Duplicates,"16,284",Includes Renewals and/or Redeterminations,365,Includes Renewals and/or Redeterminations,"16,649",Includes Renewals and/or Redeterminations,329030,,"845,892",,39.0646,-105.3272,"(39.0646, -105.3272)",827262,,18630,
CT,Connecticut,8/1/2018,Y,U,Y,"5,097",Includes Duplicates,12337,Includes Duplicates; Includes Renewals and/or Redeterminations,"17,434",Includes Duplicates,"16,284",Includes Renewals and/or Redeterminations,365,Includes Renewals and/or Redeterminations,"16,649",Includes Renewals and/or Redeterminations,329137,,"847,023",,39.0646,-105.3272,"(39.0646, -105.3272)",828292,,18731,
DE,Delaware,8/1/2018,Y,P,N,"3,116",,N/A,,"3,116",,"5,425",,761,,"6,186",,105296,,"248,310",,38.8964,-77.0262,"(38.8964, -77.0262)",237186,,11124,
DE,Delaware,8/1/2018,Y,U,Y,"3,116",,N/A,,"3,116",,"5,425",,761,,"6,186",,105296,,"248,310",,38.8964,-77.0262,"(38.8964, -77.0262)",237186,,11124,
DC,District of Columbia,8/1/2018,Y,P,N,"2,655",Includes SBM data,996,,"3,651",Includes Renewals and/or Redeterminations,"3,868",Includes Renewals and/or Redeterminations; Includes CHIP,,,"3,868",,,,"258,784",,41.5834,-72.7622,"(41.5834, -72.7622)",243186,,15598,
DC,District of Columbia,8/1/2018,Y,U,Y,"2,655",Includes SBM data,996,,"3,651",Includes Renewals and/or Redeterminations,"3,868",Includes Renewals and/or Redeterminations; Includes CHIP,,,"3,868",,,,"258,784",,41.5834,-72.7622,"(41.5834, -72.7622)",243186,,15598,
FL,Florida,8/1/2018,N,P,N,"326,143",Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,"326,143",Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs,"195,074",Does Not Include All Determinations for Limited-Benefit Programs Made At Application,"25,086",,"220,160",Does Not Include All Determinations for Limited-Benefit Programs Made At Application,2502126,,"4,230,653",,39.3498,-75.5148,"(39.3498, -75.5148)",4010045,,220608,
FL,Florida,8/1/2018,N,U,Y,"326,143",Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,"326,143",Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs,"195,074",Does Not Include All Determinations for Limited-Benefit Programs Made At Application,"25,086",,"220,160",Does Not Include All Determinations for Limited-Benefit Programs Made At Application,2502126,,"4,230,653",,39.3498,-75.5148,"(39.3498, -75.5148)",4010045,,220608,
GA,Georgia,8/1/2018,N,P,N,"53,171",,N/A,,"53,171",,"36,735",,"1,199",,"37,934",,1211235,,"1,775,549",,27.8333,-81.717,"(27.8333, -81.717)",1568982,,206567,
GA,Georgia,8/1/2018,N,U,Y,"53,171",,N/A,,"53,171",,"36,735",,"1,199",,"37,934",,1239005,,"1,815,109",,27.8333,-81.717,"(27.8333, -81.717)",1605541,,209568,
HI,Hawaii,8/1/2018,Y,P,N,"4,786",,N/A,,"4,786",,"6,096",,429,,"6,525",,142346,,"336,594",,32.9866,-83.6487,"(32.9866, -83.6487)",311625,,24969,
HI,Hawaii,8/1/2018,Y,U,Y,"4,786",,N/A,,"4,786",,"6,096",,429,,"6,525",,142547,,"336,795",,32.9866,-83.6487,"(32.9866, -83.6487)",311822,,24973,
ID,Idaho,8/1/2018,N,P,N,"8,316",,,,"8,316",,"7,071",,487,,"7,558",,198414,,"275,783",,42.0046,-93.214,"(42.0046, -93.214)",251430,,24353,
ID,Idaho,8/1/2018,N,U,Y,"8,294",,,,"8,294",,"7,024",,487,,"7,511",,199171,,"276,978",,42.0046,-93.214,"(42.0046, -93.214)",252550,,24428,
IL,Illinois,8/1/2018,Y,P,N,"70,016",,N/A,,"70,016",,"43,447",,"16,127",,"59,574",,1378310,,"2,928,677",,44.2394,-114.5103,"(44.2394, -114.5103)",2695051,,233626,
IL,Illinois,8/1/2018,Y,U,Y,"70,016",,N/A,,"70,016",,"43,447",,"16,127",,"59,574",,1399072,,"2,978,597",,44.2394,-114.5103,"(44.2394, -114.5103)",2742900,,235697,
IN,Indiana,8/1/2018,Y,P,N,"102,364",,N/A,,"102,364",,"42,365",,"3,668",,"46,033",,787262,,"1,440,107",,40.3363,-89.0022,"(40.3363, -89.0022)",1331736,,108371,
IN,Indiana,8/1/2018,Y,U,Y,"102,364",,N/A,,"102,364",,"42,365",,"3,668",,"46,033",,805277,,"1,453,490",,40.3363,-89.0022,"(40.3363, -89.0022)",1342249,,111241,
IA,Iowa,8/1/2018,Y,P,N,"15,430",Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,"15,430",Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,"1,029",Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,"1,029",Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,330666,,"681,118",,21.1098,-157.5311,"(21.1098, -157.5311)",610607,,70511,
IA,Iowa,8/1/2018,Y,U,Y,"15,430",Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,"15,430",Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,"1,029",Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,"1,029",Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,333670,,"687,610",,21.1098,-157.5311,"(21.1098, -157.5311)",616917,,70693,
KS,Kansas,8/1/2018,N,P,N,,,N/A,,,,,,,,,,267613,,"384,606",,39.8647,-86.2604,"(39.8647, -86.2604)",331942,,52664,
KS,Kansas,8/1/2018,N,U,Y,,,N/A,,,,,,,,,,267613,,"384,606",,39.8647,-86.2604,"(39.8647, -86.2604)",331942,,52664,
KY,Kentucky,8/1/2018,Y,P,N,,,11185,,"11,185",,,,,,,,570221,,"1,239,776",,38.5111,-96.8005,"(38.5111, -96.8005)",1152873,,86903,
KY,Kentucky,8/1/2018,Y,U,Y,,,11185,,"11,185",,,,,,,,570221,,"1,239,776",,38.5111,-96.8005,"(38.5111, -96.8005)",1152873,,86903,
LA,Louisiana,8/1/2018,Y,P,N,"27,462",,N/A,,"27,462",,"35,916",,"2,698",,"38,614",,727350,,"1,455,451",,37.669,-84.6514,"(37.669, -84.6514)",1326418,,129033,
LA,Louisiana,8/1/2018,Y,U,Y,"27,462",,N/A,,"27,462",,"35,916",,"2,698",,"38,614",,727350,,"1,455,451",,37.669,-84.6514,"(37.669, -84.6514)",1326418,,129033,
ME,Maine,8/1/2018,N,P,N,"5,521",,N/A,,"5,521",,"11,174",,376,,"11,550",,107132,,"261,021",,39.0724,-76.7902,"(39.0724, -76.7902)",256246,,4775,
ME,Maine,8/1/2018,N,U,Y,"5,521",,N/A,,"5,521",,"10,925",,668,,"11,593",,109256,,"265,495",,39.0724,-76.7902,"(39.0724, -76.7902)",255246,,10249,
MD,Maryland,8/1/2018,Y,P,N,"7,236",,100027,Includes Renewals and/or Redeterminations,"107,263",Includes Renewals and/or Redeterminations,"32,605",Includes Renewals and/or Redeterminations,"4,393",Includes Renewals and/or Redeterminations,"36,998",Includes Renewals and/or Redeterminations,612756,,"1,305,092",,42.2373,-71.5314,"(42.2373, -71.5314)",1151733,,153359,
MD,Maryland,8/1/2018,Y,U,Y,"7,960",,100027,Includes Renewals and/or Redeterminations,"107,987",Includes Renewals and/or Redeterminations,"32,605",Includes Renewals and/or Redeterminations,"4,393",Includes Renewals and/or Redeterminations,"36,998",Includes Renewals and/or Redeterminations,617641,,"1,314,590",,42.2373,-71.5314,"(42.2373, -71.5314)",1160769,,153821,
MA,Massachusetts,8/1/2018,Y,P,N,"18,782",,2230,,"21,012",,,,,,,,675416,,"1,590,253",,31.1801,-91.8749,"(31.1801, -91.8749)",1411865,,178388,
MA,Massachusetts,8/1/2018,Y,U,Y,"20,668",,3469,,"24,137",,,,,,,,683520,,"1,609,065",,31.1801,-91.8749,"(31.1801, -91.8749)",1427506,,181559,
MI,Michigan,8/1/2018,Y,P,N,"55,192",,N/A,,"55,192",,"51,393",Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,"1,624",,"53,017",,941735,Does Not Include All Full-Benefit Child Medicaid enrollees,"2,328,236",Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2271923,Does Not Include All Full-Benefit Medicaid enrollees,56313,
MI,Michigan,8/1/2018,Y,U,Y,"55,194",,N/A,,"55,194",,"51,429",Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,"1,621",,"53,050",,952887,Does Not Include All Full-Benefit Child Medicaid enrollees,"2,352,398",Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2295085,Does Not Include All Full-Benefit Medicaid enrollees,57313,
MN,Minnesota,8/1/2018,Y,P,N,"4,821",,18177,,"22,998",,"21,764",,37,,"21,801",,532526,,"1,067,746",,43.3504,-84.5603,"(43.3504, -84.5603)",1066555,,1191,
MN,Minnesota,8/1/2018,Y,U,Y,"6,258",,20591,,"26,849",,"21,764",,37,,"21,801",,539927,,"1,082,325",,43.3504,-84.5603,"(43.3504, -84.5603)",1081047,,1278,
MS,Mississippi,8/1/2018,N,P,N,"21,154",,N/A,,"21,154",,"13,106",,631,,"13,737",,426715,,"638,407",,38.4623,-92.302,"(38.4623, -92.302)",562770,,75637,
MS,Mississippi,8/1/2018,N,U,Y,"21,154",,N/A,,"21,154",,"13,106",,631,,"13,737",,435631,,"651,232",,38.4623,-92.302,"(38.4623, -92.302)",574760,,76472,
MO,Missouri,8/1/2018,N,P,N,"21,948",,N/A,,"21,948",,"10,210","Includes CHIP; Count is of Households, Not Individuals",,,"10,210","Count is of Households, Not Individuals",601688,,"935,680",,45.7326,-93.9196,"(45.7326, -93.9196)",904127,,31553,
MO,Missouri,8/1/2018,N,U,Y,"21,948",,N/A,,"21,948",,"10,210","Includes CHIP; Count is of Households, Not Individuals",,,"10,210","Count is of Households, Not Individuals",601688,,"935,680",,45.7326,-93.9196,"(45.7326, -93.9196)",904127,,31553,
MT,Montana,8/1/2018,Y,P,N,"3,444",,N/A,,"3,444",,"3,618",,183,,"3,801",,128418,,"278,915",,14.8058,145.5505,"(14.8058, 145.5505)",253776,,25139,
MT,Montana,8/1/2018,Y,U,Y,"3,654",,N/A,,"3,654",,"3,618",,183,,"3,801",,129499,,"281,233",,14.8058,145.5505,"(14.8058, 145.5505)",255835,,25398,
NE,Nebraska,8/1/2018,N,P,N,"6,844",,N/A,,"6,844",,"8,653",,"1,076",,"9,729",,163138,,"245,002",,35.6411,-79.8431,"(35.6411, -79.8431)",211341,,33661,
NE,Nebraska,8/1/2018,N,U,Y,"6,844",,N/A,,"6,844",,"8,653",,"1,076",,"9,729",,165714,,"249,042",,35.6411,-79.8431,"(35.6411, -79.8431)",214800,,34242,
NV,Nevada,8/1/2018,Y,P,N,"17,735",Includes Renewals and/or Redeterminations,N/A,,"17,735",Includes Renewals and/or Redeterminations,"13,229","Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",63,,"13,292",,308704,,"646,973",,40.314,-74.5089,"(40.314, -74.5089)",605418,,41555,
NV,Nevada,8/1/2018,Y,U,Y,"17,735",Includes Renewals and/or Redeterminations,N/A,,"17,735",Includes Renewals and/or Redeterminations,"13,229","Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",63,,"13,292",,308704,,"646,973",,40.314,-74.5089,"(40.314, -74.5089)",605418,,41555,
NH,New Hampshire,8/1/2018,Y,P,N,"8,345",,N/A,,"8,345",,"5,047",,468,,"5,515",,90074,,"182,386",,47.5362,-99.793,"(47.5362, -99.793)",168074,,14312,
NH,New Hampshire,8/1/2018,Y,U,Y,"8,345",,N/A,,"8,345",,"5,047",,468,,"5,515",,91367,,"185,159",,47.5362,-99.793,"(47.5362, -99.793)",170585,,14574,
NJ,New Jersey,8/1/2018,Y,P,N,"33,260",Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,"33,260",Does Not Include All Non-MAGI Applications,"11,683",Does Not Include All Medicaid Determinations Made At Application,"5,096",Does Not Include All CHIP Determinations Made At Application,"16,779",Does Not Include All Medicaid Determinations Made At Application,832836,,"1,753,383",,41.1289,-98.2883,"(41.1289, -98.2883)",1541122,,212261,
NJ,New Jersey,8/1/2018,Y,U,Y,"33,260",Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,"33,260",Does Not Include All Non-MAGI Applications,"11,683",Does Not Include All Medicaid Determinations Made At Application,"5,096",Does Not Include All CHIP Determinations Made At Application,"16,779",Does Not Include All Medicaid Determinations Made At Application,843738,,"1,777,911",,41.1289,-98.2883,"(41.1289, -98.2883)",1564250,,213661,
NM,New Mexico,8/1/2018,Y,P,N,"13,918",,N/A,,"13,918",,"21,895",,"1,714",,"23,609",,331428,,"727,487",,43.4108,-71.5653,"(43.4108, -71.5653)",691336,,36151,
NM,New Mexico,8/1/2018,Y,U,Y,"13,918",,N/A,,"13,918",,"21,895",,"1,714",,"23,609",,331428,,"727,487",,43.4108,-71.5653,"(43.4108, -71.5653)",691336,,36151,
NY,New York,8/1/2018,Y,P,N,,,825077,Includes Renewals and/or Redeterminations,"825,077",Includes Renewals and/or Redeterminations,"109,268",Includes Renewals and/or Redeterminations,"7,780",Includes Renewals and/or Redeterminations,"117,048",Includes Renewals and/or Redeterminations,2496767,Includes Limited-Benefit Enrollees; Includes Retroactive Enrollments,"6,491,631",Includes Limited-Benefit Enrollees; Includes Retroactive Enrollments,34.8375,-106.2371,"(34.8375, -106.2371)",5870253,Includes Limited-Benefit Enrollees; Includes Retroactive Enrollments,621378,
NY,New York,8/1/2018,Y,U,Y,,,825077,Includes Renewals and/or Redeterminations,"825,077",Includes Renewals and/or Redeterminations,"116,069",Includes Renewals and/or Redeterminations,"7,902",Includes Renewals and/or Redeterminations,"123,971",Includes Renewals and/or Redeterminations,2508439,Includes Limited-Benefit Enrollees,"6,515,672",Includes Limited-Benefit Enrollees,34.8375,-106.2371,"(34.8375, -106.2371)",5889821,Includes Limited-Benefit Enrollees,625851,
NC,North Carolina,8/1/2018,N,P,N,"23,604",,N/A,,"23,604",,"38,202",,"4,284",,"42,486",,1430104,,"2,038,608",,32.7673,-89.6812,"(32.7673, -89.6812)",1792534,,246074,
NC,North Carolina,8/1/2018,N,U,Y,"23,604",,N/A,,"23,604",,"38,202",,"4,284",,"42,486",,1462390,,"2,089,902",,32.7673,-89.6812,"(32.7673, -89.6812)",1836791,,253111,
ND,North Dakota,8/1/2018,Y,P,N,"2,451",,N/A,,"2,451",,"2,071",,55,,"2,126",,44635,,"95,077",,46.9048,-110.3261,"(46.9048, -110.3261)",92996,,2081,
ND,North Dakota,8/1/2018,Y,U,Y,"2,451",,N/A,,"2,451",,"2,071",,55,,"2,126",,44635,,"95,077",,46.9048,-110.3261,"(46.9048, -110.3261)",92996,,2081,
OH,Ohio,8/1/2018,Y,P,N,"60,849",Includes Renewals and/or Redeterminations,N/A,,"60,849",Includes Renewals and/or Redeterminations,"47,382",Includes CHIP; Includes Renewals and/or Redeterminations,"2,652",,"50,034",Includes Renewals and/or Redeterminations,1169628,,"2,717,361",,38.4199,-117.1219,"(38.4199, -117.1219)",2497508,,219853,
OH,Ohio,8/1/2018,Y,U,Y,"60,849",Includes Renewals and/or Redeterminations,N/A,,"60,849",Includes Renewals and/or Redeterminations,"47,382",Includes CHIP; Includes Renewals and/or Redeterminations,"2,652",,"50,034",Includes Renewals and/or Redeterminations,1169628,,"2,717,361",,38.4199,-117.1219,"(38.4199, -117.1219)",2497508,,219853,
