YEAR,ST,METAL,PREMI27,PREMI50,Column1,Lowest Cost,2nd Lowest,Age 50
2021,AK,Silver,408,695,,408,418,712
2021,AL,Silver,417.23,711.05,,417.23,417.23,711.05
2021,AR,Silver,287.02,489.14,,287.02,287.02,489.14
2021,AZ,Silver,261.52,445.69,,261.52,263.71,449.41
2021,CA,Silver,250.38,426.7,,250.38,250.49,426.88
2021,CO,Silver,227.84,388.29,,227.84,229.89,391.78
2021,CT,Silver,363.9,620.17,,363.9,365.41,622.73
2021,DC,Silver,286.54,564.01,,286.54,286.54,564.01
2021,DE,Silver,428.14,729.63,,428.14,428.14,729.63
2021,FL,Silver,246.02,419.27,,246.02,247.71,422.15
2021,GA,Silver,269.81,459.8,,269.81,271.65,462.94
2021,HI,Silver,332.15,566.05,,332.15,332.15,566.05
2021,IA,Silver,321.02,547.09,,321.02,327.77,558.59
2021,ID,Silver,362.1,617.09,,362.1,362.88,618.42
2021,IL,Silver,236.67,403.33,,236.67,243.31,414.65
2021,IN,Silver,256.86,437.75,,256.86,260.89,444.62
2021,KS,Silver,326.13,555.78,,326.13,332.61,566.84
2021,KY,Silver,332.55,566.73,,332.55,332.55,566.73
2021,LA,Silver,333.64,568.58,,333.64,333.64,568.58
2021,MA,Silver,300.86,429.38,,300.86,300.86,429.38
2021,MD,Silver,240.97,410.65,,240.97,240.97,410.65
2021,ME,Silver,268.3,457.23,,268.3,275.48,469.47
2021,MI,Silver,187.45,319.45,,187.45,188.2,320.73
2021,MN,Silver,207.89,354.29,,207.89,210.32,358.42
2021,MO,Silver,268.3,457.24,,268.3,290.51,495.09
2021,MS,Silver,343.59,585.54,,343.59,343.59,585.54
2021,MT,Silver,246.73,420.47,,246.73,278.76,475.06
2021,NC,Silver,309.17,526.88,,309.17,311.08,530.14
2021,ND,Silver,289.95,494.13,,289.95,301.8,514.33
2021,NE,Silver,399.85,681.42,,399.85,431.94,736.11
2021,NH,Silver,221.29,377.13,,221.29,222.33,378.9
2021,NJ,Silver,301.04,513.03,,301.04,309.19,526.92
2021,NM,Silver,235.94,402.08,,235.94,252.56,430.42
2021,NV,Silver,279.85,476.92,,279.85,288.91,492.35
2021,NY,Silver,472.45,472.45,,472.45,473.09,473.09
2021,OH,Silver,221.12,376.83,,221.12,224.42,382.45
2021,OK,Silver,306.09,521.63,,306.09,306.09,521.63
2021,OR,Silver,330,562,,330,330,562
2021,PA,Silver,221.52,377.51,,221.52,221.52,377.51
2021,RI,Silver,260.13,443.32,,260.13,268.69,457.9
2021,SC,Silver,277.03,472.12,,277.03,277.03,472.12
2021,SD,Silver,387.89,661.05,,387.89,387.89,661.05
2021,TN,Silver,306.4,522.17,,306.4,325.69,555.05
2021,TX,Silver,253.58,432.16,,253.58,260.73,444.33
2021,UT,Silver,371.25,568.09,,371.25,386.1,590.81
2021,VA,Silver,322.13,548.98,,322.13,332.83,567.21
2021,VT,Silver,574.15,574.15,,574.15,577.81,577.81
2021,WA,Silver,259.71,442.61,,259.71,276.25,470.79
2021,WI,Silver,274.26,467.39,,274.26,282.8,481.94
2021,WV,Silver,416.36,709.56,,416.36,416.36,709.56
2021,WY,Silver,596.99,1017.39,,596.99,596.99,1017.39
,,,,,,311.76,317.3,524.75
