YEAR,ST,METAL,PREMI27,PREMI50,Column1,Lowest Cost,2nd Lowest,Age 50
2019,AK,Silver,563,959,,563,571,973
2019,AL,Silver,391.96,667.98,,391.96,400.58,682.66
2019,AR,Silver,290.57,495.19,,290.57,295.32,503.29
2019,AZ,Silver,258.44,440.43,,258.44,267.37,455.65
2019,CA,Silver,248.61,423.68,,248.61,261.46,445.57
2019,CO,Silver,308.56,525.85,,308.56,316.7,539.72
2019,CT,Silver,326.45,556.34,,326.45,351.23,598.56
2019,DC,Silver,283.28,557.59,,283.28,293.27,577.25
2019,DE,Silver,541.15,922.22,,541.15,561.39,956.72
2019,FL,Silver,286.29,487.9,,286.29,291.54,496.84
2019,GA,Silver,265.52,452.49,,265.52,267.28,455.51
2019,HI,Silver,347.81,592.73,,347.81,364.92,621.9
2019,IA,Silver,460.71,785.14,,460.71,468.15,797.82
2019,ID,Silver,372.59,634.96,,372.59,383.21,653.07
2019,IL,Silver,301.37,513.59,,301.37,314.58,536.11
2019,IN,Silver,195.63,333.4,,195.63,198.32,337.98
2019,KS,Silver,403.43,687.52,,403.43,410.79,700.07
2019,KY,Silver,298.93,509.44,,298.93,303.5,517.23
2019,LA,Silver,304.69,519.24,,304.69,314.76,536.41
2019,MA,Silver,270.91,386.65,,270.91,273.18,389.88
2019,MD,Silver,286.15,487.65,,286.15,296.76,505.74
2019,ME,Silver,309.29,527.08,,309.29,323.38,551.11
2019,MI,Silver,230.5,392.81,,230.5,234.97,400.44
2019,MN,Silver,231.64,394.76,,231.64,235.25,400.91
2019,MO,Silver,343.24,584.94,,343.24,345,587.94
2019,MS,Silver,343.36,585.15,,343.36,344.11,586.42
2019,MT,Silver,303.44,517.12,,303.44,347.49,592.19
2019,NC,Silver,370.28,631.03,,370.28,385,656.12
2019,ND,Silver,300.93,512.85,,300.93,318.09,542.09
2019,NE,Silver,368.15,627.41,,368.15,403.32,687.33
2019,NH,Silver,291.62,496.97,,291.62,305.56,520.73
2019,NJ,Silver,251.14,428,,251.14,255.19,434.89
2019,NM,Silver,248.45,423.41,,248.45,251.79,429.11
2019,NV,Silver,292.25,498.06,,292.25,302.23,515.06
2019,NY,Silver,459.72,459.72,,459.72,459.72,459.72
2019,OH,Silver,248.46,423.42,,248.46,256.6,437.3
2019,OK,Silver,320.71,546.55,,320.71,328.94,560.58
2019,OR,Silver,308,526,,308,333,568
2019,PA,Silver,268.95,458.34,,268.95,273.29,465.74
2019,RI,Silver,257.2,438.32,,257.2,275.15,468.91
2019,SC,Silver,400.12,681.88,,400.12,402.09,685.24
2019,SD,Silver,364.24,620.74,,364.24,366.1,623.92
2019,TN,Silver,294.36,501.65,,294.36,317.21,540.59
2019,TX,Silver,258.32,440.22,,258.32,274.73,468.19
2019,UT,Silver,382.1,584.69,,382.1,397.38,608.08
2019,VA,Silver,401.87,684.87,,401.87,409.02,697.05
2019,VT,Silver,493.35,493.35,,493.35,517.31,517.31
2019,WA,Silver,275.55,469.59,,275.55,277.16,472.34
2019,WI,Silver,293.56,500.28,,293.56,301.56,513.92
2019,WV,Silver,380.86,649.06,,380.86,396.11,675.05
2019,WY,Silver,647.72,1103.85,,647.72,652.56,1112.09
,,,,,,332.26,343.03,569.79
